Fiscal Year Range,Account Type,Department,Division,Org Code,Org Description,Fund Code,Fund Description,Project Code,Project Description,Program Code,Program Description,Account Category,Account Code,Account Description,Amount,Budget Type,Budget Name,Amount as number
FY15-16,Expense,Human Services,Human Services,78251,Youth Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Contract Services,54711,Printing and Duplicating Services,800,3,Proposed,800
FY15-16,Expense,Human Services,Human Services,78251,Youth Services,1780,Kid's First Oakland Children's Fund,P485110,FY1516 OFCY-ADMIN,YS04,OAKLAND FUND FOR CHILDREN & YOUTH,Civilian Salaries,51111,Civilian: Regular,49640,3,Proposed,49640
FY15-16,Expense,Human Services,Human Services,78251,Youth Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Services & Supplies,53719,Miscellaneous Services,5800,3,Proposed,5800
FY15-16,Expense,Human Services,Human Services,78251,Youth Services,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,YS04,OAKLAND FUND FOR CHILDREN & YOUTH,Civilian Retirement,51611,Civilian: Retirement Accrual,30255,3,Proposed,30255
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,6826,3,Proposed,6826
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463451,FY14/15 MEAS Y YOUTH,PS37,MEASURE Y,Contract Services,54911,Services: Contract,453756,3,Proposed,453756
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463452,FY14/15 MEAS Y CCNI,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,15760,3,Proposed,15760
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G484750,FY1516 MEASURE Z- ADMIN,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,29221,3,Proposed,29221
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,40703,3,Proposed,40703
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,91122,3,Proposed,91122
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463453,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,25115,3,Proposed,25115
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261240,MEASURE Y EVALUATION,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,47,3,Proposed,47
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51111,Civilian: Regular,30242,3,Proposed,30242
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261240,MEASURE Y EVALUATION,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,159,3,Proposed,159
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463452,FY14/15 MEAS Y CCNI,PS37,MEASURE Y,Contract Services,54911,Services: Contract,153893,3,Proposed,153893
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463473,FY14/15 MEAS Y MESSE,PS37,MEASURE Y,Internal Services & Work Orders,56611,Work Order Expenditures,12776,3,Proposed,12776
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Services & Supplies,52212,"Minor Furniture and Office Equipment (No Asset Number, Not Capitalized)",3000,3,Proposed,3000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463469,FY14/15 MEAS Y VIOLE,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,18914,3,Proposed,18914
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463458,PUBLIC SAFETY ADVISOR,PS37,MEASURE Y,Contract Services,54911,Services: Contract,79073,3,Proposed,79073
FY15-16,Revenue,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Interfund Transfers,49212,Operating Transfers: Other,13215,3,Proposed,13215
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G484750,FY1516 MEASURE Z- ADMIN,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,68394,3,Proposed,68394
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G484750,FY1516 MEASURE Z- ADMIN,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,20315,3,Proposed,20315
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261240,MEASURE Y EVALUATION,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,68,3,Proposed,68
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,63348,3,Proposed,63348
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463469,FY14/15 MEAS Y VIOLE,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,63678,3,Proposed,63678
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Overhead Allocations,58522,Overhead: Central Services Cost Allocation,13215,3,Proposed,13215
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Overhead Allocations,58521,Overhead: Departmental Cost Allocation,5072,3,Proposed,5072
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,PS37,MEASURE Y,Contract Services,54011,Contract Contingencies (Budgetary Only),214956,3,Proposed,214956
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463474,FY14/15 MEAS Y JJC,PS37,MEASURE Y,Contract Services,54911,Services: Contract,900000,3,Proposed,900000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G261240,MEASURE Y EVALUATION,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,80,3,Proposed,80
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,107636,3,Proposed,107636
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",743,3,Proposed,743
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463350,FY13/14 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,26644,3,Proposed,26644
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463350,FY13/14 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,7913,3,Proposed,7913
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,20541,3,Proposed,20541
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463455,FY14/15 MEAS Y REENT,PS37,MEASURE Y,Contract Services,54911,Services: Contract,1080000,3,Proposed,1080000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,14856,3,Proposed,14856
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Contract Services,54911,Services: Contract,16987,3,Proposed,16987
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Travel & Education,55112,Commercial Transportation,700,3,Proposed,700
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463461,FY14/15 MEAS Y STREE,PS37,MEASURE Y,Contract Services,54911,Services: Contract,983000,3,Proposed,983000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463476,FY14/15 MEAS Y CRISI,PS37,MEASURE Y,Contract Services,54911,Services: Contract,310800,3,Proposed,310800
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G423210,SECOND CHANCE JUVENILE RE ENTRY,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Retirement,51611,Civilian: Retirement Accrual,6801,3,Proposed,6801
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Services & Supplies,53116,Telephone,1000,3,Proposed,1000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463456,FY14/15 MEAS Y MENTL,PS37,MEASURE Y,Contract Services,54911,Services: Contract,40000,3,Proposed,40000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463469,FY14/15 MEAS Y VIOLE,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,32136,3,Proposed,32136
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463453,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,14781,3,Proposed,14781
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Project Offsets & Carryforwards,78811,Budget Only: Prior  Year Allocation Offset Project Total,-72481,3,Proposed,-72481
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,15263,3,Proposed,15263
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463465,FY14/15 MEAS Y PROJE,PS37,MEASURE Y,Contract Services,54911,Services: Contract,333000,3,Proposed,333000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Retirement,51611,Civilian: Retirement Accrual,17404,3,Proposed,17404
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G484750,FY1516 MEASURE Z- ADMIN,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,34516,3,Proposed,34516
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Services & Supplies,52211,Stationery and Office Supplies,10,3,Proposed,10
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G423210,SECOND CHANCE JUVENILE RE ENTRY,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51511,Civilian: Paid Leave Charge,4728,3,Proposed,4728
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463473,FY14/15 MEAS Y MESSE,PS37,MEASURE Y,Contract Services,54911,Services: Contract,64000,3,Proposed,64000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Salaries,51111,Civilian: Regular,40737,3,Proposed,40737
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Services & Supplies,52911,Bottled Water and Food for Human Consumption,1000,3,Proposed,1000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,12089,3,Proposed,12089
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51511,Civilian: Paid Leave Charge,11990,3,Proposed,11990
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Travel & Education,55119,"Miscellaneous Travel Expenditures (Tips, Parking)",500,3,Proposed,500
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",1650,3,Proposed,1650
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463459,FY14/15 MEAS Y RESTO,PS37,MEASURE Y,Contract Services,54911,Services: Contract,150000,3,Proposed,150000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,213281,3,Proposed,213281
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51111,Civilian: Regular,40368,3,Proposed,40368
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Salaries,51428,Premium: Bilingual,1170,3,Proposed,1170
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Salaries,51511,Civilian: Paid Leave Charge,12099,3,Proposed,12099
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,50016,3,Proposed,50016
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463457,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Contract Services,54911,Services: Contract,175000,3,Proposed,175000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Retirement,51611,Civilian: Retirement Accrual,12921,3,Proposed,12921
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G423210,SECOND CHANCE JUVENILE RE ENTRY,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,8034,3,Proposed,8034
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463452,FY14/15 MEAS Y CCNI,PS37,MEASURE Y,Civilian Salaries,51511,Civilian: Paid Leave Charge,4681,3,Proposed,4681
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2152,California Board of Corrections,G482310,HSD CAL GRIP 15/CBSCC,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51511,Civilian: Paid Leave Charge,8983,3,Proposed,8983
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Internal Services & Work Orders,56611,Work Order Expenditures,43691,3,Proposed,43691
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463453,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Civilian Salaries,51111,Civilian: Regular,49766,3,Proposed,49766
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463454,FY14/15 MEAS Y FAM V,PS37,MEASURE Y,Contract Services,54911,Services: Contract,460000,3,Proposed,460000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463466,FY14/15 MEAS Y MIDDL,PS37,MEASURE Y,Contract Services,54911,Services: Contract,219514,3,Proposed,219514
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463475,FY14/15 MEAS Y GANG,PS37,MEASURE Y,Contract Services,54911,Services: Contract,125000,3,Proposed,125000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",5,3,Proposed,5
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463452,FY14/15 MEAS Y CCNI,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,7954,3,Proposed,7954
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463453,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Internal Services & Work Orders,56611,Work Order Expenditures,11092,3,Proposed,11092
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Other Expenditures and Disbursments,58720,Miscellaneous,-206751,3,Proposed,-206751
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,21369,3,Proposed,21369
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463350,FY13/14 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",490,3,Proposed,490
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Internal Services & Work Orders,56312,Duplicating,2000,3,Proposed,2000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463469,FY14/15 MEAS Y VIOLE,PS37,MEASURE Y,Internal Services & Work Orders,56611,Work Order Expenditures,14193,3,Proposed,14193
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Retirement,51611,Civilian: Retirement Accrual,17247,3,Proposed,17247
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Travel & Education,55114,Per Diem and Lodging,500,3,Proposed,500
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463453,FY14/15 MEAS Y OUTRE,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,21262,3,Proposed,21262
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G423210,SECOND CHANCE JUVENILE RE ENTRY,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Salaries,51111,Civilian: Regular,15920,3,Proposed,15920
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463350,FY13/14 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,13446,3,Proposed,13446
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Travel & Education,55113,Meals,300,3,Proposed,300
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,1010,General Fund: General Purpose,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,17390,3,Proposed,17390
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463472,FY14/15 MEAS Y CAUGH,PS37,MEASURE Y,Contract Services,54911,Services: Contract,125000,3,Proposed,125000
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463350,FY13/14 MEAS Y ADMIN,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,11383,3,Proposed,11383
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463469,FY14/15 MEAS Y VIOLE,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,27206,3,Proposed,27206
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,0000000,UNDETERMINED PROJECT,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,20373,3,Proposed,20373
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,PS37,MEASURE Y,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,25242,3,Proposed,25242
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463463,FY14/15 MEAS Y CONTR,PS37,MEASURE Y,Contract Services,54912,Third Party: Grant Contracts Earned,1677971,3,Proposed,1677971
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Salaries,51313,"Allowance: Auto Flat (1, 2, Partially 3)",1650,3,Proposed,1650
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463450,FY14/15 MEAS Y ADMIN,PS37,MEASURE Y,Services & Supplies,52211,Stationery and Office Supplies,12352,3,Proposed,12352
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G463452,FY14/15 MEAS Y CCNI,PS37,MEASURE Y,Civilian Retirement,51611,Civilian: Retirement Accrual,6733,3,Proposed,6733
FY15-16,Expense,Human Services,Human Services,78311,Policy & Planning,2252,Measure Z - Violence Prevention and Public Safety Act of 2014,G421252,FY 1213 MEAS Y DHS/CCNI,NSDV,NEIGHBORHOOD SERVICES DIVISION,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,20558,3,Proposed,20558
FY15-16,Revenue,Human Services,Human Services,78361,CSBG - Admin,2128,Department of Health and Human Services,G464010,CSBG-OCAP ADMIN FY14-15,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Interfund Transfers,49212,Operating Transfers: Other,31555,3,Proposed,31555
FY15-16,Expense,Human Services,Human Services,78361,CSBG - Admin,2128,Department of Health and Human Services,G484910,FY1516 CSBG OACP - ADMIN,SC22,FOSTERING SAFE AND HEALTHY COMMUNITIES,Civilian Fringe Benefits,51613,Civilian: Fringe Benefits Accrual,16912,3,Proposed,16912
